index	statistic	pvalue	gene
2121	-11.0291567896227	1.64313007644523e-14	RCOR3
2144	-11.0235408077079	2.24265050974282e-14	TEAD4
2123	-11.0227035078519	1.68753899743024e-14	LIN37
2122	-11.0218834060054	1.68753899743024e-14	TRIM54
2094	-11.0126557881617	1.73194791841524e-14	PRAM1
2120	-10.9987160657212	1.80966353013901e-14	ANKRD36BP1
2118	-10.9847685794824	1.88737914186277e-14	CDR2
2119	-10.9809132551027	1.90958360235527e-14	WDYHV1
2095	-10.9805241081038	1.90958360235527e-14	ABI2
825	-10.9766120633369	1.11022302462516e-15	ACAT2
2085	-10.9725919346421	1.95399252334028e-14	KRT15
824	-10.9690587770908	1.11022302462516e-15	FBXL8
2084	-10.9674850292881	1.99840144432528e-14	CCDC67
2146	-10.9651391645477	2.68673971959288e-14	DAXX
2145	-10.9599604829205	2.73114864057789e-14	MOS
2086	-10.9419689891652	2.1538326677728e-14	HMG20B
2083	-10.9312212832134	2.22044604925031e-14	PSMB1
2115	-10.9310553273446	2.22044604925031e-14	PNMA5
2082	-10.9055989016746	2.39808173319034e-14	TCHP
2081	-10.9048213106793	2.40918396343659e-14	KRT2
2080	-10.9031576015987	2.42028619368284e-14	KRT13
2079	-10.8968328725577	2.46469511466785e-14	KRT71
2078	-10.8902755918267	2.52020626589911e-14	HSBP1
822	-10.8883786452418	1.55431223447522e-15	LINC00521
2077	-10.8867882884819	2.55351295663786e-14	KIAA1217
2087	-10.8732935880567	2.65343302885412e-14	KRT8
823	-10.864180845841	1.66533453693773e-15	COA5
2088	-10.8593679957638	2.77555756156289e-14	KRT5
2089	-10.85184082763	2.8421709430404e-14	ATP5O
2075	-10.8261455907166	3.06421554796543e-14	TXLNA
2076	-10.8152864029934	3.17523785042795e-14	SMARCE1
2096	-10.8085367813989	3.24185123190546e-14	NONO
2097	-10.8026670494544	3.29736238313671e-14	PRKAA2
2098	-10.8025704879446	3.30846461338297e-14	CYB5R2
2090	-10.7688199395105	3.66373598126302e-14	AMOT
2101	-10.7647538949373	3.70814490224802e-14	KRT6A
2091	-10.7579694756936	3.78586051397178e-14	COX5B
2100	-10.756035329596	3.80806497446429e-14	C19orf57
2092	-10.7533809448337	2.90878432451791e-14	KRT6B
2110	-10.7408906307759	3.99680288865056e-14	NINL
2109	-10.7408739137772	3.99680288865056e-14	LMO4
2111	-10.7282601631068	4.15223411209809e-14	RAD51D
820	-10.7125404881329	2.88657986402541e-15	NDUFB9
2112	-10.7035485074906	4.48530101948563e-14	TSHZ3
2099	-10.6951786389866	4.59632332194815e-14	CDC23
821	-10.6929151429323	3.10862446895044e-15	NPL
2102	-10.6876575447739	4.70734562441066e-14	KRT38
2104	-10.6849565573307	4.75175454539567e-14	AMOTL2
2106	-10.6849184056609	4.75175454539567e-14	CCHCR1
2103	-10.6738575582273	4.90718576884319e-14	KRT6C
2107	-10.6633910153119	5.07371922253697e-14	TFIP11
2105	-10.6527914591364	5.24025267623074e-14	KRT19
2113	-10.6208027035368	5.79536418854332e-14	MIA3
2114	-10.6173857283431	5.85087533977457e-14	PRDM14
2041	-10.5971913276732	6.22835116814713e-14	CHCHD2
2042	-10.593994617438	6.28386231937839e-14	INCA1
2040	-10.5820325101555	6.52811138479592e-14	AKAP9
2108	-10.5010915047304	8.39328606616618e-14	CCDC146
2074	-10.4982341426983	8.4821039081362e-14	KRT20
2073	-10.4961470581911	8.5265128291212e-14	DTNB
1898	-10.4815774151926	8.92619311798626e-14	BCL11A
1900	-10.4785447927239	9.01501095995627e-14	CPSF7
2065	-10.4678129138987	9.32587340685131e-14	VPS52
2071	-10.465511784543	9.39248678832882e-14	GSE1
1899	-10.4644466902391	9.41469124882133e-14	FRMD6
2064	-10.4523352608793	9.78106484694763e-14	KLC3
2072	-10.4416358617582	1.01141317543352e-13	CCDC36
2058	-10.4313982080586	1.04360964314765e-13	NDC80
2063	-10.418254845902	1.08801856413265e-13	CCNH
2070	-10.4021120352369	1.14463993838854e-13	RUNX1T1
2037	-10.391995884724	1.18127729820117e-13	C1orf216
2069	-10.3917486587927	1.18238752122579e-13	KLC4
2056	-10.3905109781116	1.18682841332429e-13	DTNBP1
2057	-10.3902735447106	1.18793863634892e-13	CCDC53
2061	-10.3899878188905	1.18793863634892e-13	MED4
2062	-10.3790925547959	1.23012711128467e-13	KDM1A
2036	-10.3785839586787	1.23234755733392e-13	CCDC116
2060	-10.377406248014	1.23678844943242e-13	MAGEA6
2039	-10.3740500329625	1.25011112572793e-13	WAC
2068	-10.3735154927375	1.25233157177718e-13	NECAB2
2054	-10.3693409151776	1.26787469412193e-13	NUP62
2055	-10.3689292526047	1.27009514017118e-13	ISCU
2038	-10.3640944051302	1.28896893158981e-13	USHBP1
2052	-10.3627518755043	1.29452004671293e-13	TEKT4
2053	-10.3602033052925	1.30562227695918e-13	IFT20
2059	-10.3542410295906	1.33004718350094e-13	HAUS1
2034	-10.3419643871318	1.38111744263369e-13	ARFIP2
2066	-10.3410517402829	1.3855583347322e-13	SNAP47
2043	-10.3393532219245	1.39332989590457e-13	GRB2
2035	-10.3360864924107	1.4077627952247e-13	CCDC87
2067	-10.3344322088122	1.41442413337245e-13	NEK6
2049	-10.3248606993334	1.45883305435746e-13	KANK2
2048	-10.3248473713275	1.45883305435746e-13	PIK3R2
2047	-10.3233428933177	1.46549439250521e-13	MRFAP1L1
2045	-10.3123896313517	1.51656465163796e-13	IKZF3
2044	-10.3088977188189	1.53321799700734e-13	ARMC7
2051	-10.293801478704	1.60760293965723e-13	HGS
2046	-10.2912855257332	1.62092561595273e-13	ABI3
2050	-10.2903862613311	1.62536650805123e-13	JAKMIP2
1897	-10.2785647421756	1.68642877440561e-13	GMCL1P1
2033	-10.2700050772673	1.73194791841524e-13	ING5
1901	-10.2500796538622	1.84519066692701e-13	NXT2
1903	-10.2258310161164	1.99174010617753e-13	TRIM69
1896	-10.1701717532694	2.37365682664858e-13	NFRKB
1902	-10.1448037749614	2.57127652503186e-13	KLHL32
818	-10.1142358323499	2.4757973449141e-14	C19orf44
819	-10.1088424225609	2.53130849614536e-14	FAM207A
2032	-10.1010876562344	2.3125945602942e-13	RALBP1
2031	-10.0944276309541	2.36255459640233e-13	TFPT
2030	-10.0896287293795	2.39919195621496e-13	RUNDC3A
2029	-10.0780628824124	2.49023024423423e-13	MYO15B
2025	-10.0696327664218	2.55906407176099e-13	TSG101
2024	-10.0656746006211	2.59126053947512e-13	SYCE1
2026	-10.065454427989	2.59348098552437e-13	VPS28
2020	-10.046631350429	3.51052520386474e-13	DYDC1
2022	-10.0424202276103	2.79332112995689e-13	SSX2
2023	-10.0424202276103	2.79332112995689e-13	TAX1BP1
2028	-10.0312851138888	2.89546164822241e-13	RAD54B
2027	-10.0301360870343	2.90656387846866e-13	MRPL11
1905	-10.029480120272	3.70592445619877e-13	LHX4
1906	-10.0202277311435	3.81694675866129e-13	CTNNBIP1
1904	-10.0189905571242	3.83248988100604e-13	SNRNP25
2021	-10.0062136655885	3.13971071363994e-13	VIM
1907	-9.95744578781859	4.66071625737641e-13	HNRNPM
1908	-9.94778190743365	4.8061554736023e-13	MAD2L2
2019	-9.91872321217351	5.27355936696949e-13	CCNC
2018	-9.91679590290632	5.30575583468362e-13	NEFL
2017	-9.90419071073141	5.52335954751015e-13	CEP63
1910	-9.86912152645453	6.17728090901437e-13	DNAJA3
1909	-9.86634474427275	6.23279206024563e-13	FAM214B
1911	-9.84441592129579	6.68576305429269e-13	SFI1
1946	-9.79106500693555	7.93143328792212e-13	LNX1
1928	-9.79012840304664	7.95585819446387e-13	KCTD1
1947	-9.7876664025434	8.01803068384288e-13	AIMP2
1956	-9.78274472901699	8.1468165546994e-13	CINP
1957	-9.77302287745029	8.40438829641244e-13	NDOR1
1943	-9.76587637631416	8.59978754874646e-13	ZBTB25
1927	-9.76468979413957	8.63198401646059e-13	OIP5
1929	-9.76131104010822	8.72635297355373e-13	CEP170P1
1945	-9.75940934166753	8.77964367873574e-13	TSSK3
1944	-9.74877150295545	9.08384478748303e-13	APIP
1913	-9.74861602623339	9.08828567958153e-13	CPSF6
1938	-9.74403167226097	9.2237328885858e-13	BLOC1S6
1950	-9.7437884134934	9.23039422673355e-13	MEMO1
1912	-9.74371407376228	9.2326146727828e-13	LPXN
1936	-9.73322931468417	9.5501384578256e-13	KCTD6
1937	-9.73211341908744	9.58344514856435e-13	CCDC151
1949	-9.72813168108009	9.70779012732237e-13	NHP2
1948	-9.72754465125055	9.72555369571637e-13	NOL3
1930	-9.72501086241266	9.80548975348938e-13	EIF4ENIF1
1955	-9.71723387370091	1.00530694879808e-12	BCAS2
1954	-9.71692940651112	1.00630614952024e-12	ATRIP
1953	-9.71692710341879	1.00630614952024e-12	OSGIN1
1931	-9.70796816486414	1.03572705967281e-12	SSC5D
1939	-9.70518105338806	1.04505293307966e-12	CCDC120
1935	-9.70339617921783	1.05104813741264e-12	ACTN3
1933	-9.6958783164395	1.07680531158394e-12	PDE4D
1915	-9.68822909889978	1.10356168647741e-12	PPIL1
1934	-9.68488206337112	1.11555209514336e-12	FLJ32679
1951	-9.68124956877556	1.12865272683393e-12	NOP10
1942	-9.6806511454743	1.13087317288318e-12	RBM45
1959	-9.68058006813876	1.13109521748811e-12	NME7
1960	-9.68037890865905	1.13187237360535e-12	RECK
1958	-9.675372691524	1.15019105351166e-12	CCDC101
1932	-9.67531414447744	1.15041309811659e-12	EXOC7
1914	-9.66884227693706	1.17472698235588e-12	DCTN2
1941	-9.66500182552543	1.18927090397847e-12	EFHC2
1952	-9.66498197342417	1.18949294858339e-12	MAPK9
1925	-9.65610802587468	1.22390986234677e-12	LMO3
1940	-9.65330596803983	1.23501209259302e-12	CCDC114
1926	-9.65317592270448	1.23545618180287e-12	TTC19
1922	-9.65262592431743	1.23767662785212e-12	SKIL
1921	-9.63735094294999	1.30018218413852e-12	NGDN
2016	-9.63586848998259	1.30639943307642e-12	SYT17
2015	-9.63248320061204	1.32072131009409e-12	TXLNB
2009	-9.62713245504337	1.34381394900629e-12	TBRG1
2014	-9.62460331786568	1.35469413464762e-12	MBIP
1924	-9.61967169431758	1.37645450593027e-12	ALOX5
1920	-9.61920925709013	1.37856392967706e-12	GCC1
1923	-9.61708363226176	1.38800082538637e-12	NUTM1
1919	-9.61382480560257	1.40265576931142e-12	SAMD3
1918	-9.61048297152888	1.41797684705125e-12	MED21
2013	-9.60993776241414	1.42041933770543e-12	MCM7
2008	-9.57733268322347	1.5780710072022e-12	GLYCTK
1963	-9.55559458032139	1.69309011255336e-12	HSPB7
1962	-9.55511838901218	1.69564362551e-12	TNNT1
1961	-9.55300205542338	1.70730096726857e-12	TCF4
2012	-9.55145090649799	1.71596070686064e-12	PLEKHN1
2010	-9.5122453616991	1.9479973190073e-12	KRT79
2011	-9.51045661517146	1.95932159385848e-12	DYNLL1
807	-9.47367418370451	2.6256774532385e-13	MTHFD2
1964	-9.46048313716922	2.30404584300459e-12	RSPH14
808	-9.45206217441854	2.84550161211428e-13	DYX1C1
1965	-9.42417460407107	3.22319948509175e-12	LGALS14
806	-9.42267018618295	3.17412762740332e-13	DRC7
1917	-9.41097188740773	3.36242145237975e-12	AATF
1969	-9.39946033071989	3.48876483258209e-12	CEP72
1967	-9.3817124535931	2.97628588441512e-12	SRSF2
1916	-9.37638401212756	3.7567726707266e-12	CCDC172
1970	-9.37322568509554	3.79496434277371e-12	HOMER3
2007	-9.34434617468644	3.36142225165759e-12	EPS8
809	-9.33938886128241	4.32986979603811e-13	CBR3
2005	-9.30462412092197	3.82627263206814e-12	EXOC8
1966	-9.30353459317812	4.74731365329717e-12	LURAP1
2006	-9.28320594348525	4.10338429901458e-12	HOOK1
2000	-9.26348271499309	4.37649916307237e-12	RNF40
2001	-9.25601145974294	4.48485693027578e-12	PPFIA1
2004	-9.24422014140391	4.66104932428379e-12	CSPP1
1999	-9.21356518238796	5.15276710189028e-12	GOLGA8EP
810	-9.21252570862667	6.95554724927661e-13	NOP2
2003	-9.19400217387314	5.49382761505512e-12	GPS2
1968	-9.1914721553638	6.81288359061227e-12	TPM3
2002	-9.18847841761349	5.59408075417878e-12	SFR1
1982	-9.17570115452574	5.8333338159855e-12	SMN2
1983	-9.17025813682492	5.93836091411504e-12	NGFRAP1
1998	-9.15310631589698	6.28197494023652e-12	CEP57
1995	-9.11079322844763	7.21822601690292e-12	PAK7
1996	-9.10826378828001	7.2784001048376e-12	NUP54
1997	-9.10737058734699	7.2997163869104e-12	MEOX1
1990	-9.10098508176863	7.45459249884561e-12	MAGEA2B
1989	-9.0934790200494	7.64077690007525e-12	CTNNBL1
1994	-9.09055993156753	7.71449570891036e-12	SDCCAG3
1981	-9.08919192102003	7.74924568958113e-12	PKP4
1988	-9.0888763143468	7.75735031766089e-12	TTC25
1993	-9.08877080839387	7.76001485291999e-12	CCDC121
1991	-9.08783908334386	7.78377362564697e-12	INPP5J
1992	-9.08775044682296	7.78599407169622e-12	FANCL
1986	-9.08199189195931	7.93487497929846e-12	LSM2
1984	-9.07813401495213	8.03623834144673e-12	FAM154A
1985	-9.07804109310124	8.03868083210091e-12	POLR1C
1987	-9.06570145722532	8.37174773948846e-12	CCDC153
1978	-9.06164320157954	8.48432435418545e-12	STAMBPL1
1973	-9.05845189522258	8.57380832997023e-12	SPATA2
1979	-9.05752143801781	8.60012061565385e-12	MAGEB4
1974	-9.04965357679032	8.82582895656014e-12	RAB2A
1971	-9.04957685537987	8.8280494026094e-12	NEBL
1980	-9.04888991276824	8.84803341705265e-12	ATPAF2
1976	-9.03943388189677	9.12780961925819e-12	ROCK1
1977	-9.03943388189677	9.12780961925819e-12	POLR3C
1975	-9.03942908921541	9.12803166386311e-12	TNR
1972	-9.03431085512764	9.28312982040325e-12	MAD1L1
802	-8.90163948217241	2.23598917159507e-12	LRRFIP2
803	-8.90011425573259	2.24886775868072e-12	NPEPL1
804	-8.88296284395684	2.39896991161004e-12	CENPL
805	-8.88111484234584	2.41584530158434e-12	NDUFB10
811	-8.65632560491788	5.6488147492928e-12	CDK16
815	-8.59032815722932	7.25386417599339e-12	CACNA1S
816	-8.58018254099856	7.53841433720481e-12	DYNC1LI1
817	-8.5795284632305	7.55706608401852e-12	CIPC
814	-8.53981753373856	8.78574990537118e-12	NTF3
813	-8.53927404975616	8.80384654067257e-12	TIPIN
812	-8.53658673685896	8.89421869487705e-12	SULT1A2
402	-7.46907248892825	5.25746113311243e-10	BBOX1
403	-7.4679883090095	5.27938359695668e-10	F11R
405	-7.46501280010744	5.34002175811565e-10	TNFRSF13B
404	-7.46389184812492	5.36304556320033e-10	CST1
407	-7.46041758669108	5.43503908545517e-10	CDH15
401	-7.4599100090422	5.44563838467127e-10	PCDHA4
406	-7.45808828757505	5.48384782028677e-10	TWSG1
1849	-7.31538949156417	2.72185418648263e-09	TSTD2
1850	-7.30070665882197	2.8645600336219e-09	PKM
1852	-7.29289045716292	2.94356650165639e-09	FLAD1
1853	-7.27801591366197	3.10001180281461e-09	EIF5A2
1851	-7.27666471481157	3.11463022040215e-09	ZBED1
362	-7.2487988786182	1.22463050811206e-09	FXYD7
361	-7.24872577371429	1.22497423316048e-09	CALM3
364	-7.24544539257848	1.2404979266023e-09	CSNK1G2
363	-7.24353223671493	1.24964216752232e-09	ACTL8
1848	-7.22662478248853	3.7076297587646e-09	ARHGEF3
356	-7.21826174769896	1.37694355917262e-09	CCNL1
355	-7.19758304929486	1.49069956378867e-09	NPRL3
354	-7.19635505377937	1.49774304070149e-09	CLCN1
374	-7.19309803712716	1.51658596792004e-09	OSTCP1
1854	-7.19308859367859	4.1672391093428e-09	KRT18
360	-7.19278014688475	1.51843759788051e-09	IQCE
353	-7.18967376132701	1.68154157265121e-09	LONRF3
